1,0.54,N/A,0.38,N/A,0.26,0.22,0.37,0.39,0.54,0.23,0.16,0.38,0.22,0.19,0.16,0.11,0.21,0.48,0.31,0.42,0.33,N/A
0.54,1,N/A,0.48,N/A,0.33,0.18,0.60,0.43,0.61,0.32,0.23,0.46,0.13,0.19,0.07,0.02,0.24,0.62,0.27,0.44,0.47,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.38,0.48,N/A,1,N/A,0.13,0.08,0.28,0.42,0.40,0.08,0.14,0.38,0.12,0.19,0.11,-0.04,0.03,0.42,0.17,0.35,0.24,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.26,0.33,N/A,0.13,N/A,1,0.11,0.28,0.14,0.24,0.20,0.15,0.27,0.03,0.07,0.01,0.18,0.11,0.40,0.13,0.20,0.35,N/A
0.22,0.18,N/A,0.08,N/A,0.11,1,0.16,0.06,0.15,0.10,0.01,0.13,0.03,0.11,-0.02,-0.01,0.01,0.19,0.13,0.22,0.01,N/A
0.37,0.60,N/A,0.28,N/A,0.28,0.16,1,0.32,0.45,0.34,0.17,0.42,0.21,0.19,-0.00,0.07,0.14,0.50,0.17,0.32,0.33,N/A
0.39,0.43,N/A,0.42,N/A,0.14,0.06,0.32,1,0.43,0.19,0.08,0.27,0.11,0.11,0.02,0.03,0.07,0.31,0.11,0.31,0.20,N/A
0.54,0.61,N/A,0.40,N/A,0.24,0.15,0.45,0.43,1,0.25,0.17,0.46,0.17,0.10,0.06,0.03,0.21,0.48,0.30,0.34,0.29,N/A
0.23,0.32,N/A,0.08,N/A,0.20,0.10,0.34,0.19,0.25,1,0.03,0.16,0.13,0.14,-0.01,0.03,0.32,0.27,0.16,0.23,0.24,N/A
0.16,0.23,N/A,0.14,N/A,0.15,0.01,0.17,0.08,0.17,0.03,1,0.12,0.07,0.05,-0.00,0.03,0.03,0.21,0.18,0.07,0.14,N/A
0.38,0.46,N/A,0.38,N/A,0.27,0.13,0.42,0.27,0.46,0.16,0.12,1,0.16,0.12,0.08,0.08,0.15,0.44,0.25,0.33,0.25,N/A
0.22,0.13,N/A,0.12,N/A,0.03,0.03,0.21,0.11,0.17,0.13,0.07,0.16,1,0.14,0.03,0.00,0.04,0.17,0.17,0.22,0.14,N/A
0.19,0.19,N/A,0.19,N/A,0.07,0.11,0.19,0.11,0.10,0.14,0.05,0.12,0.14,1,0.02,0.05,0.04,0.16,0.14,0.18,0.10,N/A
0.16,0.07,N/A,0.11,N/A,0.01,-0.02,-0.00,0.02,0.06,-0.01,-0.00,0.08,0.03,0.02,1,0.01,-0.02,0.09,0.04,-0.02,0.10,N/A
0.11,0.02,N/A,-0.04,N/A,0.18,-0.01,0.07,0.03,0.03,0.03,0.03,0.08,0.00,0.05,0.01,1,0.08,0.11,0.01,0.02,0.07,N/A
0.21,0.24,N/A,0.03,N/A,0.11,0.01,0.14,0.07,0.21,0.32,0.03,0.15,0.04,0.04,-0.02,0.08,1,0.26,0.16,0.23,0.19,N/A
0.48,0.62,N/A,0.42,N/A,0.40,0.19,0.50,0.31,0.48,0.27,0.21,0.44,0.17,0.16,0.09,0.11,0.26,1,0.24,0.39,0.58,N/A
0.31,0.27,N/A,0.17,N/A,0.13,0.13,0.17,0.11,0.30,0.16,0.18,0.25,0.17,0.14,0.04,0.01,0.16,0.24,1,0.23,0.11,N/A
0.42,0.44,N/A,0.35,N/A,0.20,0.22,0.32,0.31,0.34,0.23,0.07,0.33,0.22,0.18,-0.02,0.02,0.23,0.39,0.23,1,0.21,N/A
0.33,0.47,N/A,0.24,N/A,0.35,0.01,0.33,0.20,0.29,0.24,0.14,0.25,0.14,0.10,0.10,0.07,0.19,0.58,0.11,0.21,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
